2026-08-28 12:47:25 startup packages configure
2026-08-28 12:47:25 configure byclaw:amd64 1.2.0 <none>
2026-08-28 12:47:25 status unpacked byclaw:amd64 1.2.0
2026-08-28 12:47:25 status half-configured byclaw:amd64 1.2.0
2026-08-28 12:47:25 status installed byclaw:amd64 1.2.0
2026-08-28 12:47:25 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-08-28 12:47:25 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-08-28 12:47:25 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-08-28 12:47:25 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2026-08-28 12:47:25 status half-configured desktop-file-utils:amd64 0.27-2build1
2026-08-28 12:47:25 status installed desktop-file-utils:amd64 0.27-2build1
2026-08-28 13:21:33 startup archives unpack
2026-08-28 13:21:33 upgrade byclaw:amd64 1.2.0 1.3.0
2026-08-28 13:21:33 status half-configured byclaw:amd64 1.2.0
2026-08-28 13:21:33 status unpacked byclaw:amd64 1.2.0
2026-08-28 13:21:33 status half-installed byclaw:amd64 1.2.0
2026-08-28 13:21:35 status triggers-pending gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-08-28 13:21:35 status triggers-pending desktop-file-utils:amd64 0.27-2build1
2026-08-28 13:21:35 status unpacked byclaw:amd64 1.3.0
2026-08-28 13:21:35 startup packages configure
2026-08-28 13:21:35 configure byclaw:amd64 1.3.0 <none>
2026-08-28 13:21:35 status unpacked byclaw:amd64 1.3.0
2026-08-28 13:21:35 status half-configured byclaw:amd64 1.3.0
2026-08-28 13:21:35 status installed byclaw:amd64 1.3.0
2026-08-28 13:21:35 trigproc gnome-menus:amd64 3.36.0-1.1ubuntu3 <none>
2026-08-28 13:21:35 status half-configured gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-08-28 13:21:35 status installed gnome-menus:amd64 3.36.0-1.1ubuntu3
2026-08-28 13:21:35 trigproc desktop-file-utils:amd64 0.27-2build1 <none>
2026-08-28 13:21:35 status half-configured desktop-file-utils:amd64 0.27-2build1
2026-08-28 13:21:35 status installed desktop-file-utils:amd64 0.27-2build1
