2026-08-28 10:36:44 install byclaw:amd64 <none> 1.0.0
2026-08-28 10:36:44 status half-installed byclaw:amd64 1.0.0
2026-08-28 10:36:45 status unpacked byclaw:amd64 1.0.0
2026-08-28 10:36:45 configure byclaw:amd64 1.0.0 1.0.0
2026-08-28 10:36:45 status half-configured byclaw:amd64 1.0.0
2026-08-28 10:36:45 status installed byclaw:amd64 1.0.0
2026-08-28 10:51:14 upgrade byclaw:amd64 1.0.0 1.1.0
2026-08-28 10:51:14 status half-configured byclaw:amd64 1.0.0
2026-08-28 10:51:14 status unpacked byclaw:amd64 1.0.0
2026-08-28 10:51:14 status half-installed byclaw:amd64 1.0.0
2026-08-28 10:51:15 status unpacked byclaw:amd64 1.1.0
2026-08-28 10:51:15 configure byclaw:amd64 1.1.0 <none>
2026-08-28 10:51:15 status unpacked byclaw:amd64 1.1.0
2026-08-28 10:51:15 status half-configured byclaw:amd64 1.1.0
2026-08-28 10:51:15 status installed byclaw:amd64 1.1.0
2026-08-28 12:47:24 upgrade byclaw:amd64 1.1.0 1.2.0
2026-08-28 12:47:24 status half-configured byclaw:amd64 1.1.0
2026-08-28 12:47:24 status unpacked byclaw:amd64 1.1.0
2026-08-28 12:47:24 status half-installed byclaw:amd64 1.1.0
2026-08-28 12:47:25 status unpacked byclaw:amd64 1.2.0
2026-08-28 12:47:25 configure byclaw:amd64 1.2.0 <none>
2026-08-28 12:47:25 status unpacked byclaw:amd64 1.2.0
2026-08-28 12:47:25 status half-configured byclaw:amd64 1.2.0
2026-08-28 12:47:25 status installed byclaw:amd64 1.2.0
2026-08-28 13:21:33 upgrade byclaw:amd64 1.2.0 1.3.0
2026-08-28 13:21:33 status half-configured byclaw:amd64 1.2.0
2026-08-28 13:21:33 status unpacked byclaw:amd64 1.2.0
2026-08-28 13:21:33 status half-installed byclaw:amd64 1.2.0
2026-08-28 13:21:35 status unpacked byclaw:amd64 1.3.0
2026-08-28 13:21:35 configure byclaw:amd64 1.3.0 <none>
2026-08-28 13:21:35 status unpacked byclaw:amd64 1.3.0
2026-08-28 13:21:35 status half-configured byclaw:amd64 1.3.0
2026-08-28 13:21:35 status installed byclaw:amd64 1.3.0
